לֶאֱבוֹד,le'ev(o)d
לֶאֱמוֹד,le'em(o)d
לְהֵיאָמֵד,lehe'am(e)d
לְאַמְלֵל,le'aml(e)l
לְהֵיאָמֵן,lehe'am(e)n
לְהַאֲמִין,leha'am(i)n
לְהִתְאַמֵּן,lehit'am(e)n
לְאַמֵּן,le'am(e)n
לְאַמֵּץ,le'am(e)tz
לְהִתְאַמֵּץ,lehit'am(e)tz
לֶאֱמוֹץ,le'em(o)tz
לְהֵיאָמֵר,lehe'am(e)R
לְהַאֲמִיר,leha'am(i)R
לוֹמַר,lom(a)R
לְאַמֵּת,le'am(e)t
לְהִתְאַמֵּת,lehit'am(e)t
לְהֵיאָנֵחַ,lehe'an(e)aH
לְהִתְאַנֵּחַ,lehit'an(e)aH
לְאַנּוֹת,le'an(o)t
לְהִתְאַנּוֹת,lehit'an(o)t
לְהִתְאוֹנֵן,lehit'on(e)n
לְאוֹנֵן,le'on(e)n
לֶאֱנוֹס,le'en(o)s
לְהֵיאָנֵס,lehe'an(e)s
לְהֵיאָנֵק,lehe'an(e)k
לְהִתְאַסְלֵם,lehit'asl(e)m
לְהֵיאָסֵף,lehe'as(e)f
לְהִתְאַסֵּף,lehit'as(e)f
לֶאֱסוֹף,le'es(o)f
לְהֵיאָסֵר,lehe'as(e)R
לֶאֱסוֹר,le'es(o)R
לְהֵיאָפוֹת,lehe'af(o)t
לֶאֱפוֹת,le'ef(o)t
לְאַפְייֵן,le'afy(e)n
לְהִתְאַפְייֵן,lehit'afy(e)n
לְהַאֲפִיל,leha'af(i)l
לְאַפְנֵן,le'afn(e)n
לֶאֱפוֹס,le'ef(o)s
לְאַפֵּס,le'ap(e)s
לְהִתְאַפֵּס,lehit'ap(e)s
לֶאֱפוֹף,le'ef(o)f
לְהִתְאַפֵּק,lehit'ap(e)k
לְהַאֲפִיר,leha'af(i)R
לְאַפֵּר,le'ap(e)R
לְהִתְאַפֵּר,lehit'ap(e)R
לְהִתְאַפְשֵׁר,lehit'afx(e)R
לְאַפְשֵׁר,le'afx(e)R
לְהַאֲצִיל,leha'atz(i)l
לֶאֱצוֹר,le'etz(o)R
לְהִתְאַקְלֵם,lehit'akl(e)m
לֶאֱרוֹב,le'eR(o)v
לֶאֱרוֹג,le'eR(o)g
לְהֵיאָרֵג,lehe'aR(e)g
לְאַרְגֵּן,le'aRg(e)n
לְהִתְאַרְגֵּן,lehit'aRg(e)n
לֶאֱרוֹז,le'eR(o)z
לְהֵיאָרֵז,lehe'aR(e)z
לְאָרֵחַ,le'aR(e)aH
לְהִתְאָרֵחַ,lehit'aR(e)aH
לֶאֱרוֹת,le'eR(o)t
לֶאֱרוֹךְ,le'eR(o)H
לְהַאֲרִיךְ,leha'aR(i)H
לְהִתְאָרֵךְ,lehit'aR(e)H
לְהִתְאָרֵס,lehit'aR(e)s
לְאָרֵס,le'aR(e)s
לְאָרֵעַ,le'aR(e)a
לְהַאֲרִיק,leha'aR(i)k
לְאָרֵר,le'aR(e)R
לָאוֹר,la'(o)R
לְהַאֲשִׁים,leha'ax(i)m
לְהֵיאָשֵׁם,lehe'ax(e)m
לֶאְשׁוֹם,le'ex(o)m
לְאַשְׁפֵּז,le'axp(e)z
לְהִתְאַשְׁפֵּז,lehit'axp(e)z
לְאַשֵּׁר,le'ax(e)R
לְהִתְאוֹשֵׁשׁ,lehit'ox(e)x
לְאוֹשֵׁשׁ,le'ox(e)x
לְאַשֵּׁשׁ,le'ax(e)x
לְהִתְאוֹשֵׁשׁ,lehit'ox(e)x
לְאַתְגֵּר,le'atg(e)R
לְאַתְחֵל,le'atH(e)l
לְאַתֵּר,le'at(e)R
לְבַאֵס,leva'(e)s
לְהִתְבָּאֵס,lehitba'(e)s
לְבָאֵר,leva'(e)R
לְהִתְבָּאֵר,lehitba'(e)R
לִבְאוֹשׁ,liv'(o)x
לְהִיבָּגֵד,lehibag(e)d
לִבְגּוֹד,livg(o)d
לְהִתְבַּגֵּר,lehitbag(e)R
לִבְגּוֹר,livg(o)R
לִבְדּוֹא,livd(o)
לְבוֹדֵד,levod(e)d
לְהִתְבּוֹדֵד,lehitbod(e)d
לְבַדֵּד,levad(e)d
לְבַדֵּחַ,levad(e)aH
לְהִתְבַּדֵּחַ,lehitbad(e)aH
לִבְדּוֹת,livd(o)t
לְהִיבָּדוֹת,lehibad(o)t
לְבַדּוֹת,levad(o)t
לְהִיבָּדֵל,lehibad(e)l
לְהַבְדִּיל,lehavd(i)l
לְבַדֵּל,levad(e)l
לְהִתְבַּדֵּל,lehitbad(e)l
לִבְדּוֹק,livd(o)k
לְהִיבָּדֵק,lehibad(e)k
לְבַדֵּר,levad(e)R
לְהִתְבַּדֵּר,lehitbad(e)R
לִבְהוֹת,livh(o)t
לְהִיבָּהֵל,lehibah(e)l
לְהַבְהִיל,lehavh(i)l
לְהַבְהִיל,lehavh(i)l
לִבְהוֹל,livh(o)l
לִבְהוֹק,livh(o)k
לְהַבְהִיק,lehavh(i)k
לְהִתְבַּהֵר,lehitbah(e)R
לְהַבְהִיר,lehavh(i)R
לָבוֹא,lav(o)
לְהָבִיא,lehav(i)
לָבוּז,lav(u)z
לְהָבִיךְ,lehav(i)H
לְהִיבּוֹךְ,lehib(o)H
לְהִתְבּוֹסֵס,lehitbos(e)s
לְהָבִיס,lehav(i)s
לְבוֹשֵׁשׁ,levox(e)x
לֵבוֹשׁ,lev(o)x
לְבַזְבֵּז,levazb(e)z
לְהִתְבַּזְבֵּז,lehitbazb(e)z
לִבְזוֹז,livz(o)z
לְבַזּוֹת,levaz(o)t
לְהִתְבַּזּוֹת,lehitbaz(o)t
לִבְזוֹק,livz(o)k
לְהַבְזִיק,lehavz(i)k
לְבַזֵּר,levaz(e)R
לִבְחוֹל,livH(o)l
לְהַבְחִיל,lehavH(i)l
לִבְחוֹן,livH(o)n
לְהַבְחִין,lehavH(i)n
לְהִיבָּחֵן,lehibaH(e)n
לִבְחוֹר,livH(o)R
לְהִיבָּחֵר,lehibaH(e)R
לִבְחוֹשׁ,livH(o)x
לְהִתְבַּטֵּא,lehitbat(e)
לְבַטֵּא,levat(e)
לִבְטוֹחַ,livt(o)aH
לְבַטֵּחַ,levat(e)aH
לְהַבְטִיחַ,lehavt(i)aH
לְבַטֵּל,levat(e)l
לְהִתְבַּטֵּל,lehitbat(e)l
לִבְטוֹל,livt(o)l
לְהִתְבַּטֵּל,lehitbat(e)l
לְבַייֵּל,levay(e)l
לְבַייֵּם,levay(e)m
לְהָבִין,lehav(i)n
לְבוֹנֵן,levon(e)n
לְבַייֵּן,levay(e)n
לְהִתְבּוֹנֵן,lehitbon(e)n
לְבַייֵּץ,levay(e)tz
לְהִתְבַּייֵּשׁ,lehitbay(e)x
לְבַייֵּשׁ,levay(e)x
לְהִתְבַּייֵּת,lehitbay(e)t
לְבַייֵּת,levay(e)t
לִבְכּוֹת,livk(o)t
לְבַכּוֹת,levak(o)t
לְהִתְבַּכְייֵן,lehitbaHy(e)n
לְהַבְכִּיר,lehavk(i)R
לְבַלְבֵּל,levalb(e)l
לְהִתְבַּלְבֵּל,lehitbalb(e)l
לְהַבְלִיג,lehavl(i)g
לְהִתְבַּלְגֵּן,lehitbalg(e)n
לְבַלְגֵּן,levalg(e)n
לְהַבְלִיחַ,lehavl(i)aH
לִבְלוֹט,livl(o)t
לְהַבְלִיט,lehavl(i)t
לְהִתְבַּלֵּט,lehitbal(e)t
לְהִתְבַּלּוֹת,lehitbal(o)t
לִבְלוֹת,livl(o)t
לְבַלּוֹת,leval(o)t
לְהִתְבּוֹלֵל,lehitbol(e)l
לִבְלוֹל,livl(o)l
לְהִיבָּלֵם,lehibal(e)m
לִבְלוֹם,livl(o)m
לִבְלוֹעַ,livl(o)a
לְהִיבָּלֵעַ,lehibal(e)a
לְבַּלֵף,lebal(e)f
לִבְלוֹשׁ,livl(o)x
לִבְנוֹת,livn(o)t
לְהִיבָּנוֹת,lehiban(o)t
לְהַבְנוֹת,lehavn(o)t
לְבַסֵּס,levas(e)s
לְהִתְבַּסֵּס,lehitbas(e)s
לְבַעְבֵּעַ,leva'ab(e)a
לִבְעוֹט,liv'(o)t
לְהִיבָּעֵט,lehiba'(e)t
לְהִיבָּעוֹת,lehiba'(o)t
לִבְעוֹל,liv'(o)l
לִבְעוֹר,liv'(o)R
לְהַבְעִיר,lehav'(i)R
לְבַעֵר,leva'(e)R
לְהִיבָּעֵת,lehiba'(e)t
לְהַבְעִית,lehav'(i)t
לְבַצְבֵּץ,levatzb(e)tz
לְבַצֵּעַ,levatz(e)a
לְהִתְבַּצֵּעַ,lehitbatz(e)a
לִבְצוֹעַ,livtz(o)a
לְהִיבָּצֵעַ,lehibatz(e)a
לְבַצֵּר,levatz(e)R
לְהִתְבַּצֵּר,lehitbatz(e)R
לְהִיבָּצֵר,lehibatz(e)R
לִבְצוֹר,livtz(o)R
לִבְקוֹעַ,livk(o)a
לְבַקֵּעַ,levak(e)a
לְהִיבָּקֵעַ,lehibak(e)a
לְהִתְבַּקֵּעַ,lehitbak(e)a
לְהַבְקִיעַ,lehavk(i)a
לְבַקֵּר,levak(e)R
לְבַקֵּשׁ,levak(e)x
לְהִתְבַּקֵּשׁ,lehitbak(e)x
לִבְרוֹא,livR(o)
לְהִיבָּרֵא,lehibaR(e)
לְהַבְרִיא,lehavR(i)
לְבָרֵא,levaR(e)
לְבַרְבֵּר,levaRb(e)R
לְהִתְבַּרְבֵּר,lehitbaRb(e)R
לְהַבְרִיג,lehavR(i)g
לְהִתְבָּרֵג,lehitbaR(e)g
לְהַבְרִיז,lehavR(i)z
לִבְרוֹחַ,livR(o)aH
לְהַבְרִיחַ,lehavR(i)aH
לְהִתְבַּרְייֵן,lehitbaRy(e)n
לְבָרֵךְ,levaR(e)H
לְהִתְבָּרֵךְ,lehitbaR(e)H
לְהַבְרִיק,lehavR(i)k
לִבְרוֹק,livR(o)k
לְבָרֵר,levaR(e)R
לְהִתְבָּרֵר,lehitbaR(e)R
לָבוֹר,lav(o)R
מוּבְרָר,muvR(a)R
לְהַבְרִישׁ,lehavR(i)x
לִבְשׁוֹל,livx(o)l
לְבַשֵּׁל,levax(e)l
לְהַבְשִׁיל,lehavx(i)l
לְהִתְבַּשֵּׁל,lehitbax(e)l
לְבַשֵּׂם,levas(e)m
לְהִתְבַּשֵּׂם,lehitbas(e)m
לְבַשֵּׂר,levas(e)R
לְהִתְבַּשֵּׂר,lehitbas(e)R
לְבַתֵּק,levat(e)k
לְבַתֵּר,levat(e)R
לִגְאוֹת,lig'(o)t
לְהִתְגָּאוֹת,lehitga'(o)t
לִגְאוֹל,lig'(o)l
לְהִיגָּאֵל,lehiga'(e)l
לְגַבֵּב,legab(e)v
לִגְבּוֹהַּ,ligb(o)a
לְהַגְבִּיהַּ,lehagb(i)a
לִגְבּוֹת,ligb(o)t
לְגַבּוֹת,legab(o)t
לְהִיגָּבוֹת,lehigav(o)t
לְהַגְבִּיל,lehagb(i)l
לִגְבּוֹל,ligb(o)l
לְגַבֵּל,legab(e)l
לְגַבֵּס,legab(e)s
לִגְבּוֹר,ligb(o)R
לְהַגְבִּיר,lehagb(i)R
לְהִתְגַּבֵּר,lehitgab(e)R
לְגַבֵּשׁ,legab(e)x
לְהִתְגַּבֵּשׁ,lehitgab(e)x
לְגַגֵּל,legag(e)l
לְהִתְגּוֹדֵד,lehitgod(e)d
לִגְדּוֹד,ligd(o)d
לְהַגְדִּיל,lehagd(i)l
לִגְדּוֹל,ligd(o)l
לְגַדֵּל,legad(e)l
לִגְדּוֹם,ligd(o)m
לְהִיגָּדֵם,lehigad(e)m
לִגְדּוֹעַ,ligd(o)a
לְהִיגָּדֵעַ,lehigad(e)a
לְגַדֵּף,legad(e)f
לְגַדֵּר,legad(e)R
לְהַגְדִּיר,lehagd(i)R
לִגְדּוֹר,ligd(o)R
לְהִתְגַּדֵּר,lehitgad(e)R
לְהַגְדִּישׁ,lehagd(i)x
לְהַגְדִּישׁ,lehagd(i)x
לִגְדּוֹשׁ,ligd(o)x
לְגַהֵץ,legah(e)tz
לְגַהֵק,legah(e)k
לִגְהוֹר,ligh(o)R
לְהָגִיב,lehag(i)v
לָגוּז,lag(u)z
לְהִיגּוֹז,lehig(o)z
לְגַווֵּן,legav(e)n
לִגְווֹעַ,ligv(o)a
לְהָגִיף,lehag(i)f
לָגוּר,lag(u)R
לְהִתְגּוֹרֵר,lehitgoR(e)R
לִגְזוֹז,ligz(o)z
לְהִיגָּזֵז,lehigaz(e)z
לִגְזוֹל,ligz(o)l
לְהִיגָּזֵל,lehigaz(e)l
לִגְזוֹם,ligz(o)m
לְהִיגָּזֵם,lehigaz(e)m
לְהַגְזִים,lehagz(i)m
לְהִיגָּזֵר,lehigaz(e)R
לִגְזוֹר,ligz(o)R
לִגְחוֹךְ,ligH(o)H
לְגַחֵךְ,legaH(e)H
לְהַגְחִיךְ,lehagH(i)H
לִגְחוֹל,ligH(o)l
לִגְחוֹן,ligH(o)n
לְהָגִיחַ,lehag(i)aH
לָגִיחַ,lag(i)aH
לָגִיל,lag(i)l
לְגַייֵּס,legay(e)s
לְהִתְגַּייֵּס,lehitgay(e)s
לְגַייֵּר,legay(e)R
לְהִתְגַּייֵּר,lehitgay(e)R
לְגַלְגֵּל,legalg(e)l
לְהִתְגַּלְגֵּל,lehitgalg(e)l
לְהַגְלִיד,lehagl(i)d
לְגַלֵּחַ,legal(e)aH
לְהִתְגַּלֵּחַ,lehitgal(e)aH
לְגַלּוֹת,legal(o)t
לִגְלוֹת,ligl(o)t
לְהִיגָּלוֹת,lehigal(o)t
לְהַגְלוֹת,lehagl(o)t
לְהִתְגַּלּוֹת,lehitgal(o)t
לְגוֹלֵל,legol(e)l
לְהִתְגּוֹלֵל,lehitgol(e)l
לִגְלוֹל,ligl(o)l
לְהִיגּוֹל,lehig(o)l
לְגַלֵּם,legal(e)m
לְהִתְגַּלֵּם,lehitgal(e)m
לְהִתְגַּלֵּעַ,lehitgal(e)a
לְגַלֵּף,legal(e)f
לִגְלוֹשׁ,ligl(o)x
לְהִתְגַּלֵּשׁ,lehitgal(e)x
לִגְמוֹא,ligm(o)
לְגַמְגֵּם,legamg(e)m
לְגַמֵּד,legam(e)d
לְהִתְגַּמֵּד,lehitgam(e)d
לִגְמוֹז,ligm(o)z
לְהִיגָּמֵל,lehigam(e)l
לִגְמוֹל,ligm(o)l
לִגְמוֹר,ligm(o)R
לְהִיגָּמֵר,lehigam(e)R
לְהַגְמִישׁ,lehagm(i)x
לִגְנוֹב,lign(o)v
לְהִיגָּנֵב,lehigan(e)v
לְהַגְנִיב,lehagn(i)v
לְהִתְגַּנֵּב,lehitgan(e)v
לְגַנְדֵּר,legand(e)R
לְהִתְגַּנְדֵּר,lehitgand(e)R
לְהִיגָּנֵז,lehigan(e)z
לִגְנוֹז,lign(o)z
לִגְנוֹחַ,lign(o)aH
לְגַנּוֹת,legan(o)t
לְגוֹנֵן,legon(e)n
לְהִתְגּוֹנֵן,lehitgon(e)n
לְהָגֵן,lehag(e)n
לָגוֹן,lag(o)n
לְגַנֵּן,legan(e)n
לִגְסוֹס,ligs(o)s
לְגַעְגֵּעַ,lega'ag(e)a
לְהִתְגַּעְגֵּעַ,lehitga'ag(e)a
לִגְעוֹת,lig'(o)t
לְהַגְעִיל,lehag'(i)l
לִגְעוֹל,lig'(o)l
לִגְעוֹר,lig'(o)R
לִגְעוֹשׁ,lig'(o)x
לְגַפֵּף,legap(e)f
לִגְרוֹב,ligR(o)v
לְגַרְגֵּר,legaRg(e)R
לְגָרֵד,legaR(e)d
לְהִתְגָּרֵד,lehitgaR(e)d
לְגָרֵז,legaR(e)z
לְגָרוֹת,legaR(o)t
לְהִתְגָּרוֹת,lehitgaR(o)t
לְהַגְרִיל,lehagR(i)l
לְהִיגָּרֵם,lehigaR(e)m
לִגְרוֹם,ligR(o)m
לְהִיגָּרֵס,lehigaR(e)s
לִגְרוֹס,ligR(o)s
לִגְרוֹעַ,ligR(o)a
לְהִיגָּרֵעַ,lehigaR(e)a
לִגְרוֹף,ligR(o)f
לְהִיגָּרֵף,lehigaR(e)f
לְגָרֵף,legaR(e)f
לְהִיגָּרֵר,lehigaR(e)R
לְגָרֵר,legaR(e)R
לִגְרוֹר,ligR(o)R
לְגָרֵשׁ,legaR(e)x
לְהִתְגָּרֵשׁ,lehitgaR(e)x
לְהַגְשִׁים,lehagx(i)m
לְהִתְגַּשֵּׁם,lehitgax(e)m
לְגַשֵּׁר,legax(e)R
לִגְשׁוֹר,ligx(o)R
לְגַשֵּׁשׁ,legax(e)x
לְהִתְגּוֹשֵׁשׁ,lehitgox(e)x
לִדְאוֹב,lid'(o)v
לִדְאוֹג,lid'(o)g
לְהַדְאִיג,lehad'(i)g
לִדְאוֹת,lid'(o)t
לְדוֹבֵב,ledov(e)v
לְדַבֵּב,ledab(e)v
לִדְבּוֹב,lidb(o)v
לְדַבְלֵל,ledavl(e)l
לִדְבּוֹק,lidb(o)k
לְהִידָּבֵק,lehidav(e)k
לְהַדְבִּיק,lehadb(i)k
לְדַבֵּר,ledab(e)R
לְהַדְבִּיר,lehadb(i)R
לְהִידָּבֵר,lehidav(e)R
לְהִידַּבֵּר,lehidab(e)R
לְדַגְדֵּג,ledagd(e)g
לִדְגּוֹל,lidg(o)l
לְהַדְגִּים,lehadg(i)m
לִדְגּוֹם,lidg(o)m
לִדְגּוֹר,lidg(o)R
לְהַדְגִּישׁ,lehadg(i)x
לִדְהוֹת,lidh(o)t
לְהַדְהוֹת,lehadh(o)t
לְהִידָּהֵם,lehidah(e)m
לְהַדְהִים,lehadh(i)m
לִדְהוֹר,lidh(o)R
לָדוּג,lad(u)g
לְדַווֵּחַ,ledav(e)aH
לְהָדִיחַ,lehad(i)aH
לִדְווֹת,lidv(o)t
לָדוּן,lad(u)n
לְהִידּוֹן,lehid(o)n
לָדוּר,lad(u)R
לָדוּשׁ,lad(u)x
לְדַווֵּשׁ,ledav(e)x
לְהִידָּחוֹת,lehidaH(o)t
לִדְחוֹת,lidH(o)t
לִדְחוֹס,lidH(o)s
לִדְחוֹף,lidH(o)f
לְהִידָּחֵף,lehidaH(e)f
לִדְחוֹק,lidH(o)k
לְהִידָּחֵק,lehidaH(e)k
לְהַדְחִיק,lehadH(i)k
לְהִידַּייֵּן,lehiday(e)n
לְדַייֵּק,leday(e)k
לְדַכֵּא,ledak(e)
לִדְלוֹג,lidl(o)g
לְדַלֵּג,ledal(e)g
לְדַלְדֵּל,ledald(e)l
לְהִידַּלְדֵּל,lehidald(e)l
לִדְלוֹת,lidl(o)t
לְדַלּוֹת,ledal(o)t
לְדַלֵּל,ledal(e)l
דַּל,d(a)l
לְהַדְלִיף,lehadl(i)f
לִדְלוֹף,lidl(o)f
לְהִידָּלֵק,lehidal(e)k
לְהַדְלִיק,lehadl(i)k
לִדְלוֹק,lidl(o)k
לְדַמְדֵּם,ledamd(e)m
לִדְמוֹת,lidm(o)t
לְהִידָּמוֹת,lehidam(o)t
לְדַמּוֹת,ledam(o)t
לְהַדְמוֹת,lehadm(o)t
לְהִידַּמּוֹת,lehidam(o)t
לְדַמְייֵן,ledamy(e)n
לְהִידּוֹם,lehid(o)m
לְדַמֵּם,ledam(e)m
לָדוֹם,lad(o)m
לִדְמוֹעַ,lidm(o)a
לְדַסְקֵס,ledask(e)s
לִדְעוֹךְ,lid'(o)H
לְדַפְדֵּף,ledafd(e)f
לְהַדְפִּיס,lehadp(i)s
לְהִידָּפֵס,lehidaf(e)s
לְהִידָּפֵק,lehidaf(e)k
לִדְפּוֹק,lidp(o)k
לְהִתְדַּפֵּק,lehitdap(e)k
לְדַקְדֵּק,ledakd(e)k
לְדַקְלֵם,ledakl(e)m
לִדְקוֹר,lidk(o)R
לְהִידָּקֵר,lehidak(e)R
לְדַרְבֵּן,ledaRb(e)n
לְדָרֵג,ledaR(e)g
לְדַרְדֵּר,ledaRd(e)R
לְהִידַּרְדֵּר,lehidaRd(e)R
לְהִידָּרֵךְ,lehidaR(e)H
לְהַדְרִיךְ,lehadR(i)H
לִדְרוֹךְ,lidR(o)H
לְהִידָּרֵךְ,lehidaR(e)H
לְהַדְרִים,lehadR(i)m
לְהִידָּרֵס,lehidaR(e)s
לִדְרוֹס,lidR(o)s
לְהִידָּרֵשׁ,lehidaR(e)x
לִדְרוֹשׁ,lidR(o)x
לְדַשְׁדֵּשׁ,ledaxd(e)x
לְדַשֵּׁן,ledax(e)n
לְהַבְהֵב,lehavh(e)v
לְהַהְבִּיל,lehahb(i)l
לַהֲגוֹת,lahag(o)t
לְהֵיהָגוֹת,lehehag(o)t
לְהַגֵּר,lehag(e)R
לְהַדְהֵד,lehadh(e)d
לַהֲדוֹף,lahad(o)f
לְהַדֵּק,lehad(e)k
לְהִתְהַדֵּק,lehithad(e)k
לְהִתְהַדֵּר,lehithad(e)R
לְהַדֵּר,lehad(e)R
לַהֲדוֹר,lahad(o)R
לְהַוּוֹת,lehav(o)t
לְהִתְהַוּוֹת,lehithav(o)t
לְהַווֵּן,lehav(e)n
לַהֲזוֹת,lahaz(o)t
לִהְיוֹת,lihy(o)t
נִהְיָה,nihy(a)
לָלֶכֶת,lal(e)Het
לְהַלֵּךְ,lehal(e)H
לְהִתְהַלֵּךְ,lehithal(e)H
לְהַלֵּל,lehal(e)l
לְהִתְהַלֵּל,lehithal(e)l
לְהָהֵל,lehah(e)l
לַהֲלוֹם,lahal(o)m
לַהֲלוֹם,lahal(o)m
לְהַמְהֵם,lehamh(e)m
לְהַמּוֹת,leham(o)t
לַהֲמוֹת,laham(o)t
לָהוֹם,lah(o)m
לְהַמֵּם,leham(e)m
לְהַמֵּר,leham(e)R
לְהַנְדֵּס,lehand(e)s
לְהַנְהֵן,lehanh(e)n
לֵיהָנוֹת,lehan(o)t
לְהַסּוֹת,lehas(o)t
לְהַסֵּס,lehas(e)s
לְהִתְהַפֵּךְ,lehithap(e)H
לַהֲפוֹךְ,lahaf(o)H
לְהֵיהָפֵךְ,lehehaf(e)H
לְהַפְּנֵט,lehapn(e)t
לַהֲרוֹג,lahaR(o)g
לְהֵיהָרֵג,lehehaR(e)g
לְהַרְהֵר,lehaRh(e)R
לַהֲרוֹת,lahaR(o)t
לְהֵיהָרֵס,lehehaR(e)s
לַהֲרוֹס,lahaR(o)s
לְהַתֵּל,lehat(e)l
לְווַדֵּא,levad(e)
לְהִתְווַדּוֹת,lehitvad(o)t
לְהִתְווַדֵּעַ,lehitvad(e)a
לְהִתְווַכֵּחַ,lehitvak(e)aH
לְהוֹלִיךְ,lehol(i)H
לְווַסֵּת,levas(e)t
לְהַווְרִיד,lehavR(i)d
לְווַתֵּר,levat(e)R
לִזְבּוֹחַ,lizb(o)aH
לְזַבֵּחַ,lezab(e)aH
לְהִיזָּבֵחַ,lehizav(e)aH
לְזַבֵּל,lezab(e)l
לְזַגְזֵג,lezagz(e)g
לְהַזְהִיב,lehazh(i)v
לְזַהוֹת,lezah(o)t
לְהִזְדַּהוֹת,lehizdah(o)t
לְזַהֵם,lezah(e)m
לְהִזְדַּהֵם,lehizdah(e)m
לִזְהוֹר,lizh(o)R
לְהַזְהִיר,lehazh(i)R
לְהִיזָּהֵר,lehizah(e)R
לָזוּב,laz(u)v
לְזַווֵּג,lezav(e)g
לְהִזְדַּווֵּג,lehizdav(e)g
לְזַווֵּד,lezav(e)d
לָזוּד,laz(u)d
לָזוּז,laz(u)z
לְהָזִיז,lehaz(i)z
לָזוּחַ,laz(u)aH
לְהָזִין,lehaz(i)n
לְהִיזּוֹן,lehiz(o)n
לָזוּן,laz(u)n
לְהָזִיעַ,lehaz(i)a
לָזוּעַ,laz(u)a
לְהִיזּוֹר,lehiz(o)R
לְזַווֵּת,lezav(e)t
לְהִזְדַּחֵל,lehizdaH(e)l
